Timestamp,j1,j2,j3,j4,j5,j6,Herramienta,Cinta_Estado,Sensor_1,Sensor_2
2026-05-22 14:00:02.375,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32836454219732003,-0.0014413271980928677,Abierta,PARADA,LOW,HIGH
2026-05-22 14:00:02.457,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32836454219732003,-0.0014413271980928677,Abierta,ENCENDIDA,LOW,HIGH
2026-05-22 14:00:06.649,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.0014413271980928677,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:07.544,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.0014413271980928677,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:11.570,0.8393749037148592,-0.9897827550120183,0.5991306121357798,-0.019849096652720277,-1.2502869957165905,0.020034403832306147,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:12.386,0.8393749037148592,-0.9897827550120183,0.5218683768084948,-0.030586962167920007,-1.1398403789888243,0.02770430777173427,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:13.448,0.8393749037148592,-0.9897827550120183,0.5203534310177638,-0.03212094295580581,-1.1383063982009385,0.029238288559620074,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:17.482,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32836454219732003,0.0031606151655640957,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:20.894,1.7981889815904641,0.02977576214999711,-0.9900475223411211,0.09980140480235944,-0.696519931289874,0.11667519346910149,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:22.234,1.7997109086982026,-0.08081528057337162,-1.029436112900129,0.09519946243870248,-0.49863640965262634,0.11207325110544453,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:23.301,1.7997109086982026,-0.08081528057337162,-1.029436112900129,0.09213150086293131,-0.49863640965262634,0.11207325110544453,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:24.644,1.7997109086982026,0.02977576214999711,-0.9900475223411211,0.09826742401447408,-0.6934519697141028,0.11667519346910149,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:28.136,-0.04790860009701037,0.24035322706161694,-0.6097961288676205,-0.009111231137520992,-0.32683056140943423,0.0031606151655640957,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:29.024,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,0.0031606151655640957,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:29.442,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,0.0031606151655640957,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:32.365,-0.6795083498087182,-0.380774547138125,-0.29923224176774954,-0.2100627143505398,-1.0830830898370558,-0.598159853685607,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:33.665,-0.6901618395628915,-0.47015634879125867,-0.3204414828379847,-0.23000446459305346,-1.0938209553522547,-0.5889559689582935,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:35.209,-0.6901618395628915,-0.47015634879125867,-0.3204414828379847,-0.23614038774459578,-1.0968889169280263,-0.5812860650188649,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:36.519,-0.6795083498087182,-0.380774547138125,-0.3007471875584806,-0.2131306759263114,-1.0876850322007123,-0.598159853685607,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:38.646,-0.7206003817176727,-0.7004281089823824,0.099198501194524,-0.01831511586483492,-0.9618986075940898,-0.8865482418081077,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:39.594,-0.7601704865188883,-0.730727024797004,0.029510994820894476,-0.02445103901637724,-0.8606558755936375,-0.8773443570807937,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:00:40.793,-0.7601704865188883,-0.730727024797004,0.029510994820894476,-0.029052981380034204,-0.8545199524420948,-0.8788783378686795,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:42.006,-0.7206003817176727,-0.6504348978882569,0.24160340552324544,0.009296538317106862,-1.1567141676555663,-0.8420627989594243,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:45.512,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.0075772503496351895,-0.32683056140943423,-0.002975307985978226,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:00:45.633,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.0075772503496351895,-0.32683056140943423,-0.002975307985978226,Abierta,ENCENDIDA,HIGH,HIGH
2026-05-22 14:00:53.930,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.002975307985978226,Abierta,PARADA,LOW,LOW
2026-05-22 14:00:54.013,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.002975307985978226,Desconocido,ENCENDIDA,LOW,LOW
2026-05-22 14:01:04.076,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.002975307985978226,Desconocido,PARADA,HIGH,HIGH
2026-05-22 14:01:05.287,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.002975307985978226,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:01:05.812,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.002975307985978226,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:01:08.845,-0.6795083498087182,-0.3792596013473939,-0.29923224176774954,-0.2100627143505398,-1.0800151282612842,-0.598159853685607,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:01:10.064,-0.6901618395628915,-0.47015634879125867,-0.3204414828379847,-0.22693650301728185,-1.0861510514128265,-0.5874219881704077,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:01:11.482,-0.6901618395628915,-0.47015634879125867,-0.3204414828379847,-0.22693650301728185,-1.0861510514128265,-0.5889559689582935,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:01:12.705,-0.6795083498087182,-0.380774547138125,-0.3007471875584806,-0.21926659907785373,-1.0830830898370558,-0.598159853685607,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:01:14.959,-0.7206003817176727,-0.7004281089823824,0.099198501194524,-0.02138307744060608,-0.9588306460183182,-0.8865482418081077,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:01:15.772,-0.7601704865188883,-0.730727024797004,0.029510994820894476,-0.02445103901637724,-0.8560539332299806,-0.8773443570807937,Cerrada (Objeto),PARADA,HIGH,HIGH
2026-05-22 14:01:17.091,-0.7601704865188883,-0.730727024797004,0.029510994820894476,-0.029052981380034204,-0.8499180100784383,-0.8788783378686795,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:01:18.435,-0.7206003817176727,-0.6504348978882569,0.24008845973251436,0.009296538317106862,-1.1551801868676805,-0.8420627989594243,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:01:21.938,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.009111231137520992,-0.32683056140943423,-0.002975307985978226,Abierta,PARADA,HIGH,HIGH
2026-05-22 14:01:21.998,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.009111231137520992,-0.32683056140943423,-0.002975307985978226,Abierta,ENCENDIDA,HIGH,HIGH
2026-05-22 14:01:28.946,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.002975307985978226,Abierta,PARADA,HIGH,LOW
2026-05-22 14:01:29.027,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32683056140943423,-0.002975307985978226,Desconocido,ENCENDIDA,HIGH,HIGH
2026-05-22 14:01:39.097,-0.049430527204749275,0.24035322706161694,-0.6097961288676205,-0.010645211925406795,-0.32376259983366307,-0.0014413271980928677,Desconocido,PARADA,HIGH,HIGH
